DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
RISARALDA;e3;O;S;4702
RISARALDA;e4;O;S;1814
RISARALDA;e5;O;S;758
RISARALDA;e6;O;S;226
RISARALDA;e7;O;S;36
SANTANDER;e0;O;S;0
SANTANDER;e1;O;S;281
SANTANDER;e2;O;S;23034
SANTANDER;e3;O;S;12215
SANTANDER;e4;O;S;4701
SANTANDER;e5;O;S;1774
SANTANDER;e6;O;S;448
SANTANDER;e7;O;S;73
SUCRE;e0;O;S;0
SUCRE;e1;O;S;54
SUCRE;e2;O;S;7352
SUCRE;e3;O;S;3533
SUCRE;e4;O;S;1017
SUCRE;e5;O;S;365
SUCRE;e6;O;S;140
SUCRE;e7;O;S;16
TOLIMA;e0;O;S;0
TOLIMA;e1;O;S;252
TOLIMA;e2;O;S;11638
TOLIMA;e3;O;S;6601
TOLIMA;e4;O;S;37584
TOLIMA;e5;O;S;1130
TOLIMA;e6;O;S;308
TOLIMA;e7;O;S;41
VALLE;e0;O;S;0
VALLE;e1;O;S;706
VALLE;e2;O;S;55800
VALLE;e3;O;S;26805
VALLE;e4;O;S;8651
VALLE;e5;O;S;3658
VALLE;e6;O;S;1161
VALLE;e7;O;S;193
VAUPES;e0;O;S;0
VAUPES;e1;O;S;0
VAUPES;e2;O;S;52
VAUPES;e3;O;S;98
VAUPES;e4;O;S;17
VAUPES;e5;O;S;14
VAUPES;e6;O;S;11
VAUPES;e7;O;S;0
VICHADA;e0;O;S;0
VICHADA;e1;O;S;0
VICHADA;e2;O;S;170
VICHADA;e3;O;S;174
VICHADA;e4;O;S;85
VICHADA;e5;O;S;22
VICHADA;e6;O;S;8
VICHADA;e7;O;S;0
AMAZONAS;e0;M;H;0
AMAZONAS;e1;M;H;2
AMAZONAS;e2;M;H;101
AMAZONAS;e3;M;H;129
AMAZONAS;e4;M;H;35
AMAZONAS;e5;M;H;23
AMAZONAS;e6;M;H;7
AMAZONAS;e7;M;H;1
ANTIOQUIA;e0;M;H;0
ANTIOQUIA;e1;M;H;89
ANTIOQUIA;e2;M;H;5659
ANTIOQUIA;e3;M;H;6630
ANTIOQUIA;e4;M;H;3120
ANTIOQUIA;e5;M;H;3047
ANTIOQUIA;e6;M;H;1218
ANTIOQUIA;e7;M;H;794
ARAUCA;e0;M;H;0
ARAUCA;e1;M;H;11
ARAUCA;e2;M;H;680
ARAUCA;e3;M;H;552
ARAUCA;e4;M;H;199
ARAUCA;e5;M;H;65
ARAUCA;e6;M;H;18
ARAUCA;e7;M;H;4
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e0;M;H;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e1;M;H;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e2;M;H;96
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e3;M;H;82
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e4;M;H;42
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e5;M;H;30
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e6;M;H;14
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e7;M;H;3
ATLANTICO;e0;M;H;0
ATLANTICO;e1;M;H;51
ATLANTICO;e2;M;H;6837
ATLANTICO;e3;M;H;4444
ATLANTICO;e4;M;H;1709
